Question,Answer
Quote fromThe C++ standard library: a tutorial and handbook: The only portable way of using templates at the moment is to implement them in header files by using inline functions. Why is this? (Clarification: header files are not theonlyportable solution. But they are the most convenient portable solution.),"Caveat: It isnotnecessary to put the implementation in the header file, see the alternative solution at the end of this answer. Anyway, the reason your code is failing is that, when instantiating a template, the compiler creates a new class with the given template argument. For example: template<typename T>
struct Foo
{
    T bar;
    void doSomething(T param) {/* do stuff using T */}
};

// somewhere in a .cpp
Foo<int> f; When reading this line, the compiler will create a new class (let's call itFooInt), which is equivalent to the following: struct FooInt
{
    int bar;
    void doSomething(int param) {/* do stuff using int */}
}; Consequently, the compiler needs to have access to the implementation of the methods, to instantiate them with the template argument (in this caseint). If these implementations were not in the header, they wouldn't be accessible, and therefore the compiler wouldn't be able to instantiate the template. A common solution to this is to write the template declaration in a header file, then implement the class in an implementation file (for example .tpp), and include this implementation file at the end of the header. Foo.h template <typename T>
struct Foo
{
    void doSomething(T param);
};

#include ""Foo.tpp"" Foo.tpp template <typename T>
void Foo<T>::doSomething(T param)
{
    //implementation
} This way, implementation is still separated from declaration, but is accessible to the compiler. Another solution is to keep the implementation separated, and explicitly instantiate all the template instances you'll need: Foo.h // no implementation
template <typename T> struct Foo { ... }; Foo.cpp // implementation of Foo's methods

// explicit instantiations
template class Foo<int>;
template class Foo<float>;
// You will only be able to use Foo with int or float If my explanation isn't clear enough, you can have a look at theC++ Super-FAQ on this subject."
"C++11 introduced a standardized memory model, but what exactly does that mean? And how is it going to affect C++ programming? This article(byGavin Clarkewho quotesHerb Sutter) says that, The memory model means that C++ code
now has a standardized library to call
regardless of who made the compiler
and on what platform it's running.
There's a standard way to control how
different threads talk to the
processor's memory. ""When you are talking about splitting
[code] across different cores that's
in the standard, we are talking about
the memory model. We are going to
optimize it without breaking the
following assumptions people are going
to make in the code,""Suttersaid. Well, I canmemorizethis and similar paragraphs available online (as I've had my own memory model since birth :P) and can even post as an answer to questions asked by others, but to be honest, I don't exactly understand this. C++ programmers used to develop multi-threaded applications even before, so how does it matter if it's POSIX threads, or Windows threads, or C++11 threads? What are the benefits? I want to understand the low-level details. I also get this feeling that the C++11 memory model is somehow related to C++11 multi-threading support, as I often see these two together. If it is, how exactly? Why should they be related? I don't know how the internals of multi-threading work, and what memory model means in general.","First, you have to learn to think like a Language Lawyer. The C++ specification does not make reference to any particular compiler, operating system, or CPU.  It makes reference to anabstract machinethat is a generalization of actual systems.  In the Language Lawyer world, the job of the programmer is to write code for the abstract machine; the job of the compiler is to actualize that code on a concrete machine.  By coding rigidly to the spec, you can be certain that your code will compile and run without modification on any system with a compliant C++ compiler, whether today or 50 years from now. The abstract machine in the C++98/C++03 specification is fundamentally single-threaded.  So it is not possible to write multi-threaded C++ code that is ""fully portable"" with respect to the spec.  The spec does not even say anything about theatomicityof memory loads and stores or theorderin which loads and stores might happen, never mind things like mutexes. Of course, you can write multi-threaded code in practice for particular concrete systems – like pthreads or Windows.  But there is nostandardway to write multi-threaded code for C++98/C++03. The abstract machine in C++11 is multi-threaded by design.  It also has a well-definedmemory model; that is, it says what the compiler may and may not do when it comes to accessing memory. Consider the following example, where a pair of global variables are accessed concurrently by two threads: Global
           int x, y;

Thread 1            Thread 2
x = 17;             cout << y << "" "";
y = 37;             cout << x << endl; What might Thread 2 output? Under C++98/C++03, this is not even Undefined Behavior; the question itself ismeaninglessbecause the standard does not contemplate anything called a ""thread"". Under C++11, the result is Undefined Behavior, because loads and stores need not be atomic in general.  Which may not seem like much of an improvement...  And by itself, it's not. But with C++11, you can write this: Global
           atomic<int> x, y;

Thread 1                 Thread 2
x.store(17);             cout << y.load() << "" "";
y.store(37);             cout << x.load() << endl; Now things get much more interesting.  First of all, the behavior here isdefined.  Thread 2 could now print0 0(if it runs before Thread 1),37 17(if it runs after Thread 1), or0 17(if it runs after Thread 1 assigns to x but before it assigns to y). What it cannot print is37 0, because the default mode for atomic loads/stores in C++11 is to enforcesequential consistency.  This just means all loads and stores must be ""as if"" they happened in the order you wrote them within each thread, while operations among threads can be interleaved however the system likes.  So the default behavior of atomics provides bothatomicityandorderingfor loads and stores. Now, on a modern CPU, ensuring sequential consistency can be expensive.  In particular, the compiler is likely to emit full-blown memory barriers between every access here.  But if your algorithm can tolerate out-of-order loads and stores; i.e., if it requires atomicity but not ordering; i.e., if it can tolerate37 0as output from this program, then you can write this: Global
           atomic<int> x, y;

Thread 1                            Thread 2
x.store(17,memory_order_relaxed);   cout << y.load(memory_order_relaxed) << "" "";
y.store(37,memory_order_relaxed);   cout << x.load(memory_order_relaxed) << endl; The more modern the CPU, the more likely this is to be faster than the previous example. Finally, if you just need to keep particular loads and stores in order, you can write: Global
           atomic<int> x, y;

Thread 1                            Thread 2
x.store(17,memory_order_release);   cout << y.load(memory_order_acquire) << "" "";
y.store(37,memory_order_release);   cout << x.load(memory_order_acquire) << endl; This takes us back to the ordered loads and stores – so37 0is no longer a possible output – but it does so with minimal overhead.  (In this trivial example, the result is the same as full-blown sequential consistency; in a larger program, it would not be.) Of course, if the only outputs you want to see are0 0or37 17, you can just wrap a mutex around the original code.  But if you have read this far, I bet you already know how that works, and this answer is already longer than I intended :-). So, bottom line. Mutexes are great, and C++11 standardizes them. But sometimes for performance reasons you want lower-level primitives (e.g., the classicdouble-checked locking pattern).  The new standard provides high-level gadgets like mutexes and condition variables, and it also provides low-level gadgets like atomic types and the various flavors of memory barrier.  So now you can write sophisticated, high-performance concurrent routines entirely within the language specified by the standard, and you can be certain your code will compile and run unchanged on both today's systems and tomorrow's. Although to be frank, unless you are an expert and working on some serious low-level code, you should probably stick to mutexes and condition variables.  That's what I intend to do. For more on this stuff, seethis blog post."
"I wanted to compare reading lines of string input from stdin using Python and C++ and was shocked to see my C++ code run an order of magnitude slower than the equivalent Python code. Since my C++ is rusty and I'm not yet an expert Pythonista, please tell me if I'm doing something wrong or if I'm misunderstanding something. (TLDR answer:include the statement:cin.sync_with_stdio(false)or just usefgetsinstead. TLDR results:scroll all the way down to the bottom of my question and look at the table.) C++ code: #include <iostream>
#include <time.h>

using namespace std;

int main() {
    string input_line;
    long line_count = 0;
    time_t start = time(NULL);
    int sec;
    int lps;

    while (cin) {
        getline(cin, input_line);
        if (!cin.eof())
            line_count++;
    };

    sec = (int) time(NULL) - start;
    cerr << ""Read "" << line_count << "" lines in "" << sec << "" seconds."";
    if (sec > 0) {
        lps = line_count / sec;
        cerr << "" LPS: "" << lps << endl;
    } else
        cerr << endl;
    return 0;
}

// Compiled with:
// g++ -O3 -o readline_test_cpp foo.cpp Python Equivalent: #!/usr/bin/env python
import time
import sys

count = 0
start = time.time()

for line in  sys.stdin:
    count += 1

delta_sec = int(time.time() - start_time)
if delta_sec >= 0:
    lines_per_sec = int(round(count/delta_sec))
    print(""Read {0} lines in {1} seconds. LPS: {2}"".format(count, delta_sec,
       lines_per_sec)) Here are my results: $ cat test_lines | ./readline_test_cpp
Read 5570000 lines in 9 seconds. LPS: 618889

$ cat test_lines | ./readline_test.py
Read 5570000 lines in 1 seconds. LPS: 5570000 I should note that I tried this both under Mac OS X v10.6.8 (Snow Leopard) and Linux 2.6.32 (Red Hat Linux 6.2). The former is a MacBook Pro, and the latter is a very beefy server, not that this is too pertinent. $ for i in {1..5}; do echo ""Test run $i at `date`""; echo -n ""CPP:""; cat test_lines | ./readline_test_cpp ; echo -n ""Python:""; cat test_lines | ./readline_test.py ; done Test run 1 at Mon Feb 20 21:29:28 EST 2012
CPP:   Read 5570001 lines in 9 seconds. LPS: 618889
Python:Read 5570000 lines in 1 seconds. LPS: 5570000
Test run 2 at Mon Feb 20 21:29:39 EST 2012
CPP:   Read 5570001 lines in 9 seconds. LPS: 618889
Python:Read 5570000 lines in 1 seconds. LPS: 5570000
Test run 3 at Mon Feb 20 21:29:50 EST 2012
CPP:   Read 5570001 lines in 9 seconds. LPS: 618889
Python:Read 5570000 lines in 1 seconds. LPS: 5570000
Test run 4 at Mon Feb 20 21:30:01 EST 2012
CPP:   Read 5570001 lines in 9 seconds. LPS: 618889
Python:Read 5570000 lines in 1 seconds. LPS: 5570000
Test run 5 at Mon Feb 20 21:30:11 EST 2012
CPP:   Read 5570001 lines in 10 seconds. LPS: 557000
Python:Read 5570000 lines in  1 seconds. LPS: 5570000 Tiny benchmark addendum and recap For completeness, I thought I'd update the read speed for the same file on the same box with the original (synced) C++ code. Again, this is for a 100M line file on a fast disk. Here's the comparison, with several solutions/approaches:","By default,cinis synchronized with stdio, which causes it to avoid any input buffering.  If you add this to the top of your main, you should see much better performance: std::ios_base::sync_with_stdio(false); Normally, when an input stream is buffered, instead of reading one character at a time, the stream will be read in larger chunks.  This reduces the number of system calls, which are typically relatively expensive.  However, since theFILE*basedstdioandiostreamsoften have separate implementations and therefore separate buffers, this could lead to a problem if both were used together.  For example: int myvalue1;
cin >> myvalue1;
int myvalue2;
scanf(""%d"",&myvalue2); If more input was read bycinthan it actually needed, then the second integer value wouldn't be available for thescanffunction, which has its own independent buffer.  This would lead to unexpected results. To avoid this, by default, streams are synchronized withstdio.  One common way to achieve this is to havecinread each character one at a time as needed usingstdiofunctions.  Unfortunately, this introduces a lot of overhead.  For small amounts of input, this isn't a big problem, but when you are reading millions of lines, the performance penalty is significant. Fortunately, the library designers decided that you should also be able to disable this feature to get improved performance if you knew what you were doing, so they provided thesync_with_stdiomethod. From this link (emphasis added): If the synchronization is turned off, the C++ standard streams are allowed to buffer their I/O independently,which may be considerably faster in some cases."
What is a smart pointer and when should I use one?,"UPDATE This answer is rather old, and so describes what was 'good' at the time, which was smart pointers provided by the Boost library. Since C++11, the standard library has provided sufficient smart pointers types, and so you should favour the use ofstd::unique_ptr,std::shared_ptrandstd::weak_ptr. There was alsostd::auto_ptr. It was very much like a scoped pointer, except that it also had the ""special"" dangerous ability to be copied — which also unexpectedly transfers ownership.It was deprecated in C++11 and removed in C++17, so you shouldn't use it. std::auto_ptr<MyObject> p1 (new MyObject());
std::auto_ptr<MyObject> p2 = p1; // Copy and transfer ownership. 
                                 // p1 gets set to empty!
p2->DoSomething(); // Works.
p1->DoSomething(); // Oh oh. Hopefully raises some NULL pointer exception. OLD ANSWER A smart pointer is a class that wraps a 'raw' (or 'bare') C++ pointer, to manage the lifetime of the object being pointed to. There is no single smart pointer type, but all of them try to abstract a raw pointer in a practical way. Smart pointers should be preferred over raw pointers. If you feel you need to use pointers (first consider if youreallydo), you would normally want to use a smart pointer as this can alleviate many of the problems with raw pointers, mainly forgetting to delete the object and leaking memory. With raw pointers, the programmer has to explicitly destroy the object when it is no longer useful. // Need to create the object to achieve some goal
MyObject* ptr = new MyObject(); 
ptr->DoSomething(); // Use the object in some way
delete ptr; // Destroy the object. Done with it.
// Wait, what if DoSomething() raises an exception...? A smart pointer by comparison defines a policy as to when the object is destroyed. You still have to create the object, but you no longer have to worry about destroying it. SomeSmartPtr<MyObject> ptr(new MyObject());
ptr->DoSomething(); // Use the object in some way.

// Destruction of the object happens, depending 
// on the policy the smart pointer class uses.

// Destruction would happen even if DoSomething() 
// raises an exception The simplest policy in use involves the scope of the smart pointer wrapper object, such as implemented byboost::scoped_ptrorstd::unique_ptr. void f()
{
    {
       std::unique_ptr<MyObject> ptr(new MyObject());
       ptr->DoSomethingUseful();
    } // ptr goes out of scope -- 
      // the MyObject is automatically destroyed.

    // ptr->Oops(); // Compile error: ""ptr"" not defined
                    // since it is no longer in scope.
} Note thatstd::unique_ptrinstances cannot be copied. This prevents the pointer from being deleted multiple times (incorrectly). You can, however, pass references to it around to other functions you call. std::unique_ptrs are useful when you want to tie the lifetime of the object to a particular block of code, or if you embedded it as member data inside another object, the lifetime of that other object. The object exists until the containing block of code is exited, or until the containing object is itself destroyed. A more complex smart pointer policy involves reference counting the pointer. This does allow the pointer to be copied. When the last ""reference"" to the object is destroyed, the object is deleted. This policy is implemented byboost::shared_ptrandstd::shared_ptr. void f()
{
    typedef std::shared_ptr<MyObject> MyObjectPtr; // nice short alias
    MyObjectPtr p1; // Empty

    {
        MyObjectPtr p2(new MyObject());
        // There is now one ""reference"" to the created object
        p1 = p2; // Copy the pointer.
        // There are now two references to the object.
    } // p2 is destroyed, leaving one reference to the object.
} // p1 is destroyed, leaving a reference count of zero. 
  // The object is deleted. Reference counted pointers are very useful when the lifetime of your object is much more complicated, and is not tied directly to a particular section of code or to another object. There is one drawback to reference counted pointers — the possibility of creating a dangling reference: // Create the smart pointer on the heap
MyObjectPtr* pp = new MyObjectPtr(new MyObject())
// Hmm, we forgot to destroy the smart pointer,
// because of that, the object is never destroyed! Another possibility is creating circular references: struct Owner {
   std::shared_ptr<Owner> other;
};

std::shared_ptr<Owner> p1 (new Owner());
std::shared_ptr<Owner> p2 (new Owner());
p1->other = p2; // p1 references p2
p2->other = p1; // p2 references p1

// Oops, the reference count of of p1 and p2 never goes to zero!
// The objects are never destroyed! To work around this problem, both Boost and C++11 have defined aweak_ptrto define a weak (uncounted) reference to ashared_ptr."
"How can I convert fromintto the equivalentstringin C++?  I am aware of two methods. Is there another way? (1) int a = 10;
char *intStr = itoa(a);
string str = string(intStr); (2) int a = 10;
stringstream ss;
ss << a;
string str = ss.str();","C++11 introducesstd::stoi(and variants for each numeric type) andstd::to_string, the counterparts of the Catoianditoabut expressed in term ofstd::string. #include <string> 

std::string s = std::to_string(42); is therefore the shortest way I can think of. You can even omit naming the type, using theautokeyword: auto s = std::to_string(42); Note: see[string.conversions](21.5inn3242) Note: for faster/non-allocating conversions, consider the{fmt}library'sfmt::format_intas per@vitaut's answer."
"What exactly does puttingextern ""C""into C++ code do? For example: extern ""C"" {
   void foo();
}","extern ""C""makes a function-name in C++ have C linkage (compiler does not mangle the name) so that client C code can link to (use) your function using a C compatible header file that contains just the declaration of your function. Your function definition is contained in a binary format (that was compiled by your C++ compiler) that the client C linker will then link to using the C name. Since C++ has overloading of function names and C does not, the C++ compiler cannot just use the function name as a unique id to link to, so it mangles the name by adding information about the arguments.  A C compiler does not need to mangle the name since you can not overload function names in C.  When you state that a function hasextern ""C""linkage in C++, the C++ compiler does not add argument/parameter type information to the name used for linkage. Just so you know, you can specifyextern ""C""linkage to each individual declaration/definition explicitly or use a block to group a sequence of declarations/definitions to have a certain linkage: extern ""C"" void foo(int);
extern ""C""
{
   void g(char);
   int i;
} If you care about the technicalities, they are listed in section 7.5 of the C++03 standard, here is a brief summary (with emphasis onextern ""C""):"
"Want to improve this question?Guide the asker to update the question so it focuses on a single, specific problem. Narrowing the question will help others answer the question concisely. You mayedit the questionif you feel you can improve it yourself. If edited, the question will be reviewed and might be reopened. Closed10 months ago. How do I find areas of my code that run slowly in a C++ application running on Linux?","If your goal is to use a profiler, use one of the suggested ones. However, if you're in a hurry and you can manually interrupt your program under the debugger while it's being subjectively slow, there's a simple way to find performance problems. Execute your code in a debugger like gdb, halt it and each time look at the call stack (e.g. backtrace) several times. If there is some code that is wasting some percentage of the time, 20% or 50% or whatever, that is the probability that you will catch it in the act on each sample. So, that is roughly the percentage of samples on which you will see it. There is no educated guesswork required. If you do have a guess as to what the problem is, this will prove or disprove it. You probably have multiple performance problems of different sizes. If you clean out any one of them, the remaining ones will take a larger percentage, and be easier to spot, on subsequent passes. Thismagnification effect, when compounded over multiple problems, can lead to truly massive speedup factors. Caveat: Programmers tend to be skeptical of this technique unless they've used it themselves. They will say that profilers give you this information, but that is only true if they sample the entire call stack, and then let you examine a random set of samples. (The summaries are where the insight is lost.) Call graphs don't give you the same information, because They will also say it only works on toy programs, when actually it works on any program, and it seems to work better on bigger programs, because they tend to have more problems to find. They will say it sometimes finds things that aren't problems, but that is only true if you see somethingonce. If you see a problem on more than one sample, it is real. P.S.This can also be done on multi-thread programs if there is a way to collect call-stack samples of the thread pool at a point in time, as there is in Java. P.P.SAs a rough generality, the more layers of abstraction you have in your software, the more likely you are to find that that is the cause of performance problems (and the opportunity to get speedup). Added: It might not be obvious, but the stack sampling technique works equally well in the presence of recursion. The reason is that the time that would be saved by removal of an instruction is approximated by the fraction of samples containing it, regardless of the number of times it may occur within a sample. Another objection I often hear is: ""It will stop someplace random, and it will miss the real problem"".
This comes from having a prior concept of what the real problem is.
A key property of performance problems is that they defy expectations.
Sampling tells you something is a problem, and your first reaction is disbelief.
That is natural, but you can be sure if it finds a problem it is real, and vice-versa. Added: Let me make a Bayesian explanation of how it works.  Suppose there is some instructionI(call or otherwise) which is on the call stack some fractionfof the time (and thus costs that much). For simplicity, suppose we don't know whatfis, but assume it is either 0.1, 0.2, 0.3, ... 0.9, 1.0, and the prior probability of each of these possibilities is 0.1, so all of these costs are equally likely a-priori. Then suppose we take just 2 stack samples, and we see instructionIon both samples, designated observationo=2/2. This gives us new estimates of the frequencyfofI, according to this: Prior
P(f=x) x  P(o=2/2|f=x) P(o=2/2&&f=x)  P(o=2/2&&f >= x)  P(f >= x | o=2/2)

0.1    1     1             0.1          0.1            0.25974026
0.1    0.9   0.81          0.081        0.181          0.47012987
0.1    0.8   0.64          0.064        0.245          0.636363636
0.1    0.7   0.49          0.049        0.294          0.763636364
0.1    0.6   0.36          0.036        0.33           0.857142857
0.1    0.5   0.25          0.025        0.355          0.922077922
0.1    0.4   0.16          0.016        0.371          0.963636364
0.1    0.3   0.09          0.009        0.38           0.987012987
0.1    0.2   0.04          0.004        0.384          0.997402597
0.1    0.1   0.01          0.001        0.385          1

                  P(o=2/2) 0.385 The last column says that, for example, the probability thatf>= 0.5 is 92%, up from the prior assumption of 60%. Suppose the prior assumptions are different. Suppose we assumeP(f=0.1)is .991 (nearly certain), and all the other possibilities are almost impossible (0.001). In other words, our prior certainty is thatIis cheap. Then we get: Prior
P(f=x) x  P(o=2/2|f=x) P(o=2/2&& f=x)  P(o=2/2&&f >= x)  P(f >= x | o=2/2)

0.001  1    1              0.001        0.001          0.072727273
0.001  0.9  0.81           0.00081      0.00181        0.131636364
0.001  0.8  0.64           0.00064      0.00245        0.178181818
0.001  0.7  0.49           0.00049      0.00294        0.213818182
0.001  0.6  0.36           0.00036      0.0033         0.24
0.001  0.5  0.25           0.00025      0.00355        0.258181818
0.001  0.4  0.16           0.00016      0.00371        0.269818182
0.001  0.3  0.09           0.00009      0.0038         0.276363636
0.001  0.2  0.04           0.00004      0.00384        0.279272727
0.991  0.1  0.01           0.00991      0.01375        1

                  P(o=2/2) 0.01375 Now it saysP(f >= 0.5)is 26%, up from the prior assumption of 0.6%. So Bayes allows us to update our estimate of the probable cost ofI. If the amount of data is small, it doesn't tell us accurately what the cost is, only that it is big enough to be worth fixing. Yet another way to look at it is called theRule Of Succession.
If you flip a coin 2 times, and it comes up heads both times, what does that tell you about the probable weighting of the coin?
The respected way to answer is to say that it's a Beta distribution, with average value(number of hits + 1) / (number of tries + 2) = (2+1)/(2+2) = 75%. (The key is that we seeImore than once. If we only see it once, that doesn't tell us much except thatf> 0.) So, even a very small number of samples can tell us a lot about the cost of instructions that it sees. (And it will see them with a frequency, on average, proportional to their cost. Ifnsamples are taken, andfis the cost, thenIwill appear onnf+/-sqrt(nf(1-f))samples. Example,n=10,f=0.3, that is3+/-1.4samples.) Added: To give an intuitive feel for the difference between measuring and random stack sampling:
There are profilers now that sample the stack, even on wall-clock time, butwhat comes outis measurements (or hot path, or hot spot, from which a ""bottleneck"" can easily hide). What they don't show you (and they easily could) is the actual samples themselves. And if your goal is tofindthe bottleneck, the number of them you need to see is,on average, 2 divided by the fraction of time it takes.
So if it takes 30% of time, 2/.3 = 6.7 samples, on average, will show it, and the chance that 20 samples will show it is 99.2%. Here is an off-the-cuff illustration of the difference between examining measurements and examining stack samples.
The bottleneck could be one big blob like this, or numerous small ones, it makes no difference.  Measurement is horizontal; it tells you what fraction of time specific routines take.
Sampling is vertical.
If there is any way to avoid what the whole program is doing at that moment,and if you see it on a second sample, you've found the bottleneck.
That's what makes the difference - seeing the whole reason for the time being spent, not just how much."
"I've just finished listening to the Software Engineering radiopodcast interview with Scott MeyersregardingC++11. Most of the new features made sense to me, with the exception of one. I still don't getmove semantics... What is it exactly?","I find it easiest to understand move semantics with example code. Let's start with a very simple string class which only holds a pointer to a heap-allocated block of memory: #include <cstring>
#include <algorithm>

class string
{
    char* data;

public:

    string(const char* p)
    {
        size_t size = std::strlen(p) + 1;
        data = new char[size];
        std::memcpy(data, p, size);
    } Since we chose to manage the memory ourselves, we need to follow therule of three. I am going to defer writing the assignment operator and only implement the destructor and the copy constructor for now: ~string()
    {
        delete[] data;
    }

    string(const string& that)
    {
        size_t size = std::strlen(that.data) + 1;
        data = new char[size];
        std::memcpy(data, that.data, size);
    } The copy constructor defines what it means to copy string objects. The parameterconst string& thatbinds to all expressions of type string which allows you to make copies in the following examples: string a(x);                                    // Line 1
string b(x + y);                                // Line 2
string c(some_function_returning_a_string());   // Line 3 Now comes the key insight into move semantics. Note that only in the first line where we copyxis this deep copy really necessary, because we might want to inspectxlater and would be very surprised ifxhad changed somehow. Did you notice how I just saidxthree times (four times if you include this sentence) and meant theexact same objectevery time? We call expressions such asx""lvalues"". The arguments in lines 2 and 3 are not lvalues, but rvalues, because the underlying string objects have no names, so the client has no way to inspect them again at a later point in time.
rvalues denote temporary objects which are destroyed at the next semicolon (to be more precise: at the end of the full-expression that lexically contains the rvalue). This is important because during the initialization ofbandc, we could do whatever we wanted with the source string, andthe client couldn't tell a difference! C++0x introduces a new mechanism called ""rvalue reference"" which, among other things,
allows us to detect rvalue arguments via function overloading. All we have to do is write a constructor with an rvalue reference parameter. Inside that constructor we can doanything we wantwith the source, as long as we leave it insomevalid state: string(string&& that)   // string&& is an rvalue reference to a string
    {
        data = that.data;
        that.data = nullptr;
    } What have we done here? Instead of deeply copying the heap data, we have just copied the pointer and then set the original pointer to null (to prevent 'delete[]' from source object's destructor from releasing our 'just stolen data'). In effect, we have ""stolen"" the data that originally belonged to the source string. Again, the key insight is that under no circumstance could the client detect that the source had been modified. Since we don't really do a copy here, we call this constructor a ""move constructor"". Its job is to move resources from one object to another instead of copying them. Congratulations, you now understand the basics of move semantics! Let's continue by implementing the assignment operator. If you're unfamiliar with thecopy and swap idiom, learn it and come back, because it's an awesome C++ idiom related to exception safety. string& operator=(string that)
    {
        std::swap(data, that.data);
        return *this;
    }
}; Huh, that's it? ""Where's the rvalue reference?"" you might ask. ""We don't need it here!"" is my answer :) Note that we pass the parameterthatby value, sothathas to be initialized just like any other string object. Exactly how isthatgoing to be initialized? In the olden days ofC++98, the answer would have been ""by the copy constructor"". In C++0x, the compiler chooses between the copy constructor and the move constructor based on whether the argument to the assignment operator is an lvalue or an rvalue. So if you saya = b, thecopy constructorwill initializethat(because the expressionbis an lvalue), and the assignment operator swaps the contents with a freshly created, deep copy. That is the very definition of the copy and swap idiom -- make a copy, swap the contents with the copy, and then get rid of the copy by leaving the scope. Nothing new here. But if you saya = x + y, themove constructorwill initializethat(because the expressionx + yis an rvalue), so there is no deep copy involved, only an efficient move.thatis still an independent object from the argument, but its construction was trivial,
since the heap data didn't have to be copied, just moved. It wasn't necessary to copy it becausex + yis an rvalue, and again, it is okay to move from string objects denoted by rvalues. To summarize, the copy constructor makes a deep copy, because the source must remain untouched.
The move constructor, on the other hand, can just copy the pointer and then set the pointer in the source to null. It is okay to ""nullify"" the source object in this manner, because the client has no way of inspecting the object again. I hope this example got the main point across. There is a lot more to rvalue references and move semantics which I intentionally left out to keep it simple. If you want more details please seemy supplementary answer."
"The community reviewed whether to reopen this question2 years agoand left it closed: Original close reason(s) were not resolved I've been writing C and C++ code for almost twenty years, but there's one aspect of these languages that I've never really understood. I've obviously used regular casts i.e. MyClass *m = (MyClass *)ptr; all over the place, but there seem to be two other types of casts, and I don't know the difference. What's the difference between the following lines of code? MyClass *m = (MyClass *)ptr;
MyClass *m = static_cast<MyClass *>(ptr);
MyClass *m = dynamic_cast<MyClass *>(ptr);","static_castis used for cases where you basically want to reverse an implicit conversion, with a few restrictions and additions.static_castperforms no runtime checks. This should be used if you know that you refer to an object of a specific type, and thus a check would be unnecessary. Example: void func(void *data) {
  // Conversion from MyClass* -> void* is implicit
  MyClass *c = static_cast<MyClass*>(data);
  ...
}

int main() {
  MyClass c;
  start_thread(&func, &c)  // func(&c) will be called
      .join();
} In this example, you know that you passed aMyClassobject, and thus there isn't any need for a runtime check to ensure this. dynamic_castis useful when you don't know what the dynamic type of the object is. It returns a null pointer if the object referred to doesn't contain the type casted to as a base class (when you cast to a reference, abad_castexception is thrown in that case). if (JumpStm *j = dynamic_cast<JumpStm*>(&stm)) {
  ...
} else if (ExprStm *e = dynamic_cast<ExprStm*>(&stm)) {
  ...
} You cannotusedynamic_castfor downcast (casting to a derived class)ifthe argument type is not polymorphic. For example, the following code is not valid, becauseBasedoesn't contain any virtual function: struct Base { };
struct Derived : Base { };
int main() {
  Derived d; Base *b = &d;
  dynamic_cast<Derived*>(b); // Invalid
} An ""up-cast"" (cast to the base class) is always valid with bothstatic_castanddynamic_cast, and also without any cast, as an ""up-cast"" is an implicit conversion (assuming the base class is accessible, i.e. it's apublicinheritance). These casts are also called C-style cast. A C-style cast is basically identical to trying out a range of sequences of C++ casts, and taking the first C++ cast that works, without ever consideringdynamic_cast. Needless to say, this is much more powerful as it combines all ofconst_cast,static_castandreinterpret_cast, but it's also unsafe, because it does not usedynamic_cast. In addition, C-style casts not only allow you to do this, but they also allow you to safely cast to a private base-class, while the ""equivalent""static_castsequence would give you a compile-time error for that. Some people prefer C-style casts because of their brevity. I use them for numeric casts only, and use the appropriate C++ casts when user defined types are involved, as they provide stricter checking."
I have a solid understanding of mostOOPtheory but the one thing that confuses me a lot is virtual destructors. I thought that the destructor always gets called no matter what and for every object in the chain. When are you meant to make them virtual and why?,"Virtual destructors are useful when you might potentially delete an instance of a derived class through a pointer to base class: class Base 
{
    // some virtual methods
};

class Derived : public Base
{
    ~Derived()
    {
        // Do some important cleanup
    }
}; Here, you'll notice that I didn't declare Base's destructor to bevirtual. Now, let's have a look at the following snippet: Base *b = new Derived();
// use b
delete b; // Here's the problem! Since Base's destructor is notvirtualandbis aBase*pointing to aDerivedobject,delete bhasundefined behaviour: [Indelete b], if the static type of the
  object to be deleted is different from its dynamic type, the static
  type shall be a base class of the dynamic type of the object to be
  deleted andthe static type shall have a virtual destructor or the
  behavior is undefined. In most implementations, the call to the destructor will be resolved like any non-virtual code, meaning that the destructor of the base class will be called but not the one of the derived class, resulting in a resources leak. To sum up, always make base classes' destructorsvirtualwhen they're meant to be manipulated polymorphically. If you want to prevent the deletion of an instance through a base class pointer, you can make the base class destructor protected and nonvirtual; by doing so, the compiler won't let you calldeleteon a base class pointer. You can learn more about virtuality and virtual base class destructor inthis article from Herb Sutter."
