# these are fakes data generated using Faker library and some random generators in order to not add real company data
Name,Sectors,Location,url,Number of Employees,Logo URL,Number of Job Offers
"Hawkins-Wagner","Personal assistant, display","New Crystalburgh, Suriname","https://morgan.com/hawkins-wagner","201-500 employees","https://picsum.photos/200/200","1 job offers"
"Bush Group","Audiological scientist, Leisure centre manager","Wilsonfort, Liberia","https://abbott.com/bush-group","5001+ employees","https://picsum.photos/200/200","25 job offers"
"Hall-Caldwell","Teacher, adult education","Kingmouth, Australia","https://silva.org/hall-caldwell","201-500 employees","https://picsum.photos/200/200","33 job offers"
"Elliott-Castillo","Systems analyst","Lake David, Nepal","https://ryan.biz/elliott-castillo","1-10 employees","https://placekitten.com/200/200","9 job offers"
"Adams, Ali and Jenkins","Broadcast engineer","South Cristinashire, Barbados","https://hunt-ray.com/adams--ali-and-jenkins","11-50 employees","https://dummyimage.com/200x200","25 job offers"
"Smith, Newman and Mcdaniel","Charity fundraiser, Call centre manager","West Paulchester, Sierra Leone","https://nelson.com/smith--newman-and-mcdaniel","5001+ employees","https://placekitten.com/200/200","9 job offers"
"Pierce LLC","Geologist, engineering","South Katiebury, El Salvador","https://sweeney.com/pierce-llc","201-500 employees","https://dummyimage.com/200x200","9 job offers"
"Miller, Barrera and Bailey","Statistician, Operational researcher, Media buyer","Smithberg, Iraq","https://greer.com/miller--barrera-and-bailey","501-1000 employees","https://placekitten.com/200/200","11 job offers"
"Garrett-Kelly","Management consultant","Goodmanshire, Mauritius","https://grant-pennington.com/garrett-kelly","501-1000 employees","https://dummyimage.com/200x200","34 job offers"
"Fisher, Gomez and Torres","Chief Marketing Officer","West Kevinbury, North Macedonia","https://bell.com/fisher--gomez-and-torres","5001+ employees","https://picsum.photos/200/200","14 job offers"
"May Inc","Purchasing manager, Special effects artist","Lindsayside, Indonesia","https://young-oliver.org/may-inc","11-50 employees","https://placekitten.com/200/200","29 job offers"
"Campbell Group","Diplomatic Services operational officer","New Jeffreyside, Guadeloupe","https://gardner.com/campbell-group","1-10 employees","https://placekitten.com/200/200","24 job offers"
"Brennan Group","geomatics","Angelastad, Hong Kong","https://davis-allen.com/brennan-group","11-50 employees","https://placekitten.com/200/200","17 job offers"
"Weeks-Kelley","Retail manager, Surveyor, hydrographic","West Danielburgh, Bolivia","https://davis.com/weeks-kelley","501-1000 employees","https://picsum.photos/200/200","33 job offers"
"Gilbert and Sons","Airline pilot, IT technical support officer, Risk analyst","Harperside, Benin","https://blake.net/gilbert-and-sons","201-500 employees","https://dummyimage.com/200x200","13 job offers"
"Sandoval, Welch and Mahoney","Artist, Exhibition designer, Therapist, art","Silvamouth, Western Sahara","https://james.com/sandoval--welch-and-mahoney","1-10 employees","https://placekitten.com/200/200","10 job offers"
"Fox-Johnson","Tourist information centre manager, Health promotion specialist, Environmental health practitioner","North Miguelview, Mexico","https://clark.com/fox-johnson","201-500 employees","https://placekitten.com/200/200","10 job offers"
"Collins and Sons","product, restorer, gallery curator","Julieport, Barbados","https://anderson-mcdaniel.com/collins-and-sons","11-50 employees","https://dummyimage.com/200x200","3 job offers"
"Henry, Stephenson and Brooks","Neurosurgeon, Accountant, chartered management, Seismic interpreter","South William, Angola","https://contreras.info/henry--stephenson-and-brooks","5001+ employees","https://dummyimage.com/200x200","17 job offers"
"Howard-Pineda","Technical author, Advertising account executive, Research scientist (life sciences)","Stephenstad, Ukraine","https://cobb.net/howard-pineda","201-500 employees","https://dummyimage.com/200x200","12 job offers"
"Baker-Obrien","Arts development officer, Research officer, trade union","Isabeltown, Costa Rica","https://smith.org/baker-obrien","5001+ employees","https://placekitten.com/200/200","2 job offers"
"Williams-Blankenship","Travel agency manager, Drilling engineer, Scientist, water quality","East Brianborough, Belgium","https://holmes.net/williams-blankenship","5001+ employees","https://placekitten.com/200/200","21 job offers"
"Hicks PLC","Immunologist, Personnel officer","Kyleborough, Denmark","https://bell.com/hicks-plc","1-10 employees","https://dummyimage.com/200x200","24 job offers"
"Mitchell, Garza and Charles","Learning disability nurse, Equities trader","Riveraland, Trinidad and Tobago","https://cox-cox.com/mitchell--garza-and-charles","51-200 employees","https://dummyimage.com/200x200","13 job offers"
"Valencia LLC","Dentist, video","Snyderside, United States Virgin Islands","https://collins.com/valencia-llc","51-200 employees","https://dummyimage.com/200x200","35 job offers"
"Ramirez-Serrano","Journalist, magazine, Audiological scientist","Lawrencemouth, Tanzania","https://cook.com/ramirez-serrano","1001-5000 employees","https://picsum.photos/200/200","21 job offers"
"Sweeney and Sons","Surveyor, insurance, Broadcast presenter","Lake Trevormouth, United States Virgin Islands","https://hill-whitney.com/sweeney-and-sons","1-10 employees","https://picsum.photos/200/200","26 job offers"
"Hayes, Jackson and Scott","Data processing manager","South Marymouth, Vanuatu","https://ware-murphy.com/hayes--jackson-and-scott","1-10 employees","https://placekitten.com/200/200","19 job offers"
